Title,Worldwide Gross,Production Budget,Release Year,Content Rating,Running Time,Genre,Creative Type,Rotten Tomatoes Rating,IMDB Rating,Profit Ratio,Decade,Budget Tier
Evita,151947179,55000000,1996,PG,134,Musical,Dramatization,61,6.1,2.7626759818181816,1990,Medium
The Relic,33956608,60000000,1997,R,110,Horror,Science Fiction,32,5.4,0.5659434666666666,1990,Medium
Dante's Peak,178200000,115000000,1997,PG-13,108,Drama,Contemporary Fiction,28,5.6,1.5495652173913044,1990,High
Absolute Power,50068310,50000000,1997,R,120,Thriller,Contemporary Fiction,46,6.5,1.0013662,1990,Low
Donnie Brasco,55954997,35000000,1997,R,121,Drama,Dramatization,87,7.7,1.5987142,1990,Low
Liar Liar,302710615,45000000,1997,PG-13,87,Comedy,Contemporary Fiction,82,6.7,6.726902555555555,1990,Low
The Saint,169400000,90000000,1997,PG-13,116,Action,Contemporary Fiction,30,5.9,1.8822222222222222,1990,Medium
The Fifth Element,263900000,95000000,1997,PG-13,105,Action,Science Fiction,72,7.4,2.7778947368421054,1990,Medium
Con Air,224117573,80000000,1997,R,115,Action,Contemporary Fiction,57,6.6,2.8014696625,1990,Medium
Batman & Robin,238317814,125000000,1997,PG-13,130,Action,Super Hero,11,3.5,1.906542512,1990,High
My Best Friend's Wedding,287200000,46000000,1997,PG-13,105,Comedy,Contemporary Fiction,72,6.2,6.243478260869566,1990,Low
Face/Off,241200000,80000000,1997,R,138,Action,Contemporary Fiction,93,7.3,3.015,1990,Medium
Men in Black,587790539,90000000,1997,PG-13,98,Adventure,Science Fiction,91,7.0,6.5310059888888885,1990,Medium
Contact,165900000,90000000,1997,PG,150,Drama,Science Fiction,67,7.3,1.8433333333333333,1990,Medium
Air Force One,315268353,85000000,1997,R,124,Action,Contemporary Fiction,78,6.3,3.7090394470588235,1990,Medium
Air Bud,27555061,3000000,1997,PG,97,Comedy,Kids Fiction,45,4.6,9.185020333333334,1990,Low
Conspiracy Theory,137118990,80000000,1997,R,135,Thriller,Contemporary Fiction,51,6.5,1.713987375,1990,Medium
The Full Monty,257938649,3500000,1997,R,90,Comedy,Contemporary Fiction,95,7.2,73.69675685714286,1990,Low
Cop Land,63706632,15000000,1997,R,105,Drama,Contemporary Fiction,71,6.9,4.2471088,1990,Low
Event Horizon,26673242,60000000,1997,R,95,Horror,Science Fiction,21,6.3,0.4445540333333333,1990,Medium
Money Talks,41076865,25000000,1997,R,95,Action,Contemporary Fiction,17,5.7,1.6430746,1990,Low
The Game,48265581,50000000,1997,R,128,Thriller,Contemporary Fiction,80,7.7,0.96531162,1990,Low
In & Out,83226569,35000000,1997,PG-13,92,Comedy,Contemporary Fiction,71,6.1,2.3779019714285714,1990,Low
L.A. Confidential,110604977,35000000,1997,R,137,Drama,Historical Fiction,99,8.4,3.1601422,1990,Low
The Peacemaker,62967368,50000000,1997,R,123,Action,Contemporary Fiction,45,5.8,1.25934736,1990,Low
Boogie Nights,43111725,15000000,1997,R,152,Drama,Historical Fiction,92,7.9,2.874115,1990,Low
Seven Years in Tibet,131445884,70000000,1997,PG-13,139,Drama,Dramatization,59,6.7,1.8777983428571428,1990,Medium
Eve's Bayou,14843425,5000000,1997,R,109,Drama,Historical Fiction,80,7.0,2.968685,1990,Low
Starship Troopers,121100000,100000000,1997,R,129,Action,Science Fiction,60,7.1,1.211,1990,Medium
Anastasia,139801410,53000000,1997,G,94,Musical,Factual,85,6.6,2.637762452830189,1990,Medium
The Jackal,159356941,60000000,1997,R,124,Thriller,Contemporary Fiction,12,6.0,2.655949016666667,1990,Medium
Midnight in the Garden of Good and Evil,25078937,35000000,1997,R,155,Drama,Contemporary Fiction,50,6.5,0.7165410571428571,1990,Low
The Rainmaker,45916769,40000000,1997,PG-13,135,Drama,Contemporary Fiction,84,6.9,1.147919225,1990,Low
Flubber,177993801,80000000,1997,PG,93,Comedy,Kids Fiction,17,4.6,2.2249225125,1990,Medium
Amistad,44212592,40000000,1997,R,152,Drama,Dramatization,77,7.1,1.1053148,1990,Low
Scream 2,101363301,24000000,1997,R,120,Horror,Contemporary Fiction,80,5.9,4.223470875,1990,Low
The Apostle,21277770,5000000,1997,PG-13,148,Drama,Contemporary Fiction,91,7.1,4.255554,1990,Low
Titanic,1842879955,200000000,1997,PG-13,194,Thriller,Historical Fiction,82,7.4,9.214399775,1990,High
Tomorrow Never Dies,339504276,110000000,1997,PG-13,119,Action,Contemporary Fiction,55,6.4,3.086402509090909,1990,High
As Good as it Gets,314111923,50000000,1997,PG-13,138,Romantic Comedy,Contemporary Fiction,85,7.8,6.28223846,1990,Low
Jackie Brown,72673162,12000000,1997,R,154,Drama,Contemporary Fiction,85,7.6,6.056096833333333,1990,Low
The Postman,17650704,80000000,1997,R,177,Action,Science Fiction,10,5.5,0.2206338,1990,Medium
Wag the Dog,64252038,15000000,1997,R,120,Drama,Contemporary Fiction,84,7.0,4.2834692,1990,Low
The Replacement Killers,19035741,30000000,1998,R,86,Action,Contemporary Fiction,39,5.9,0.6345247,1990,Low
Sphere,50168294,73000000,1998,PG-13,132,Horror,Science Fiction,12,5.6,0.687236904109589,1990,Medium
